tick_ts,tick_time_str,date,month,year,day,week_of_month,open,high,low,close,volume,typical_price,price_range,return_pct,vwap,hl_ratio,body_pct,upper_shadow,lower_shadow,session,pre_market,post_market,is_open_tick,is_close_tick,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-03-25 10:06:30.393266,10:06,25,3,2026,2,5,23258.05,23258.05,23258.05,23258.05,0.0,23258.05,0.0,0.0,23258.05,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,153.8
2026-03-25 10:06:32.325077,10:06,25,3,2026,2,5,23255.95,23255.95,23255.95,23255.95,0.0,23255.95,0.0,0.0,23255.95,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,63.5
2026-03-25 10:06:32.505337,10:06,25,3,2026,2,5,23257.15,23257.15,23257.15,23257.15,0.0,23257.15,0.0,0.0,23257.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,179.8
2026-03-25 10:06:32.613022,10:06,25,3,2026,2,5,23256.45,23256.45,23256.45,23256.45,0.0,23256.45,0.0,0.0,23256.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,107.2
2026-03-25 10:06:32.780101,10:06,25,3,2026,2,5,23256.45,23256.45,23256.45,23256.45,0.0,23256.45,0.0,0.0,23256.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,166.6
2026-03-25 10:06:32.874330,10:06,25,3,2026,2,5,23256.45,23256.45,23256.45,23256.45,0.0,23256.45,0.0,0.0,23256.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,93.7
2026-03-25 10:06:34.763497,10:06,25,3,2026,2,5,23257.9,23257.9,23257.9,23257.9,0.0,23257.9,0.0,0.0,23257.9,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,101.6
2026-03-25 10:06:34.920013,10:06,25,3,2026,2,5,23259.0,23259.0,23259.0,23259.0,0.0,23259.0,0.0,0.0,23259.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,155.8
2026-03-25 10:06:35.010190,10:06,25,3,2026,2,5,23257.9,23257.9,23257.9,23257.9,0.0,23257.9,0.0,0.0,23257.9,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,89.7
2026-03-25 10:06:35.098431,10:06,25,3,2026,2,5,23257.9,23257.9,23257.9,23257.9,0.0,23257.9,0.0,0.0,23257.9,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,87.8
