datetime_ist,open,high,low,close
2026-03-24 10:39:00+05:30,22633.599609375,22633.599609375,22633.599609375,22633.599609375
2026-03-24 10:40:00+05:30,22631.849609375,22631.849609375,22631.849609375,22631.849609375
2026-03-24 10:41:00+05:30,22650.400390625,22650.400390625,22650.400390625,22650.400390625
2026-03-24 10:42:00+05:30,22663.94921875,22663.94921875,22663.94921875,22663.94921875
2026-03-24 10:43:00+05:30,22675.0,22675.0,22675.0,22675.0
2026-03-24 10:44:00+05:30,22668.30078125,22668.30078125,22668.30078125,22668.30078125
2026-03-24 10:45:00+05:30,22666.400390625,22666.400390625,22666.400390625,22666.400390625
2026-03-24 10:46:00+05:30,22663.80078125,22663.80078125,22663.80078125,22663.80078125
2026-03-24 10:47:00+05:30,22664.400390625,22677.05078125,22660.5,22674.150390625
2026-03-24 10:48:00+05:30,22674.05078125,22721.25,22670.599609375,22721.25
2026-03-24 10:50:00+05:30,22693.349609375,22693.349609375,22693.349609375,22693.349609375
2026-03-24 10:51:00+05:30,22705.44921875,22705.44921875,22705.44921875,22705.44921875
2026-03-24 10:52:00+05:30,22681.099609375,22681.099609375,22681.099609375,22681.099609375
2026-03-24 10:53:00+05:30,22658.900390625,22658.900390625,22658.900390625,22658.900390625
2026-03-24 10:54:00+05:30,22665.650390625,22665.650390625,22665.650390625,22665.650390625
2026-03-24 10:55:00+05:30,22670.150390625,22670.150390625,22670.150390625,22670.150390625
2026-03-24 10:56:00+05:30,22666.05078125,22666.05078125,22666.05078125,22666.05078125
2026-03-24 10:57:00+05:30,22661.849609375,22661.849609375,22661.849609375,22661.849609375
2026-03-24 10:58:00+05:30,22651.099609375,22651.099609375,22651.099609375,22651.099609375
2026-03-24 10:59:00+05:30,22638.150390625,22638.150390625,22638.150390625,22638.150390625
2026-03-24 11:00:00+05:30,22653.900390625,22653.900390625,22653.900390625,22653.900390625
2026-03-24 11:01:00+05:30,22659.599609375,22659.599609375,22659.599609375,22659.599609375
2026-03-24 11:02:00+05:30,22657.69921875,22657.69921875,22657.69921875,22657.69921875
2026-03-24 11:03:00+05:30,22669.19921875,22669.19921875,22669.19921875,22669.19921875
2026-03-24 11:04:00+05:30,22677.80078125,22677.80078125,22677.80078125,22677.80078125
2026-03-24 11:05:00+05:30,22668.400390625,22668.400390625,22668.400390625,22668.400390625
2026-03-24 11:06:00+05:30,22670.5,22670.5,22670.5,22670.5
2026-03-24 11:07:00+05:30,22666.150390625,22666.150390625,22666.150390625,22666.150390625
2026-03-24 11:08:00+05:30,22688.94921875,22688.94921875,22688.94921875,22688.94921875
2026-03-24 11:09:00+05:30,22681.150390625,22681.150390625,22681.150390625,22681.150390625
2026-03-24 11:10:00+05:30,22696.30078125,22696.30078125,22696.30078125,22696.30078125
2026-03-24 11:11:00+05:30,22699.55078125,22699.55078125,22699.55078125,22699.55078125
2026-03-24 11:12:00+05:30,22700.05078125,22700.05078125,22700.05078125,22700.05078125
2026-03-24 11:13:00+05:30,22699.94921875,22699.94921875,22699.94921875,22699.94921875
2026-03-24 11:14:00+05:30,22684.69921875,22684.69921875,22684.69921875,22684.69921875
2026-03-24 11:15:00+05:30,22704.099609375,22704.099609375,22704.099609375,22704.099609375
2026-03-24 11:16:00+05:30,22711.099609375,22711.099609375,22711.099609375,22711.099609375
2026-03-24 11:17:00+05:30,22714.19921875,22714.19921875,22714.19921875,22714.19921875
2026-03-24 11:18:00+05:30,22716.400390625,22716.400390625,22716.400390625,22716.400390625
2026-03-24 11:19:00+05:30,22727.19921875,22727.19921875,22727.19921875,22727.19921875
2026-03-24 11:20:00+05:30,22746.0,22746.0,22746.0,22746.0
2026-03-24 11:21:00+05:30,22723.69921875,22723.69921875,22723.69921875,22723.69921875
2026-03-24 11:22:00+05:30,22727.94921875,22727.94921875,22727.94921875,22727.94921875
2026-03-24 11:23:00+05:30,22715.400390625,22715.400390625,22715.400390625,22715.400390625
2026-03-24 11:24:00+05:30,22702.400390625,22702.400390625,22702.400390625,22702.400390625
2026-03-24 11:25:00+05:30,22703.25,22714.05078125,22689.55078125,22714.05078125
2026-03-24 11:27:00+05:30,22723.19921875,22723.19921875,22723.19921875,22723.19921875
2026-03-24 11:28:00+05:30,22725.55078125,22725.55078125,22725.55078125,22725.55078125
2026-03-24 11:29:00+05:30,22724.80078125,22724.80078125,22724.80078125,22724.80078125
2026-03-24 11:30:00+05:30,22744.55078125,22744.55078125,22744.55078125,22744.55078125
2026-03-24 11:31:00+05:30,22732.44921875,22732.44921875,22732.44921875,22732.44921875
2026-03-24 11:32:00+05:30,22731.69921875,22731.69921875,22731.69921875,22731.69921875
2026-03-24 11:33:00+05:30,22736.55078125,22736.55078125,22736.55078125,22736.55078125
2026-03-24 11:34:00+05:30,22735.400390625,22735.400390625,22735.400390625,22735.400390625
